fecha,pala,horas_Operativo,horas_Demora,horas_Malogrado,horas_totales,disponibilidad_%,produccion_total,perdida_total,perdida_Demora,perdida_Malogrado
2025-01-05,SH009,19.88,2.03,2.08,24.0,82.85,117391.2,24304.8,12004.8,12300.0
2025-01-05,SH010,20.65,0.0,3.35,24.0,86.04,121917.6,19778.4,0.0,19778.4
2025-01-05,SH011,22.0,1.58,0.42,24.0,91.67,114400.0,10400.01,8233.34,2166.67
2025-01-05,SH012,16.33,2.8,4.87,24.0,68.06,84933.34,39866.67,14560.0,25306.67
2025-01-05,SH013,22.1,0.32,1.58,24.0,92.08,114919.99,9879.99,1646.66,8233.33
2025-01-05,SH014,18.85,2.92,2.23,24.0,78.54,98020.0,26779.99,15166.66,11613.33
2025-01-05,SH015,21.82,0.83,1.35,24.0,90.9,113446.67,11353.33,4333.33,7020.0
2025-01-06,SH001,22.02,1.23,0.75,24.0,91.74,129986.4,11709.6,7281.6,4428.0
2025-01-06,SH002,20.4,2.07,1.53,24.0,85.0,120441.6,21254.4,12201.6,9052.8
2025-01-06,SH003,21.7,1.93,0.37,24.0,90.42,128116.8,13579.2,11414.4,2164.8
2025-01-06,SH004,18.95,0.5,4.55,24.0,78.96,111880.8,29815.2,2952.0,26863.2
2025-01-06,SH005,20.03,3.97,0.0,24.0,83.47,118276.8,23419.2,23419.2,0.0
2025-01-06,SH006,22.23,1.77,0.0,24.0,92.64,131265.6,10430.4,10430.4,0.0
2025-01-06,SH007,23.13,0.7,0.17,24.0,96.39,136579.2,5116.8,4132.8,984.0
2025-01-06,SH008,23.17,0.63,0.2,24.0,96.53,136776.0,4920.0,3739.2,1180.8
2025-01-06,SH009,19.35,3.38,1.27,24.0,80.62,114242.4,27453.6,19975.2,7478.4
2025-01-06,SH010,21.9,2.1,0.0,24.0,91.25,129297.6,12398.4,12398.4,0.0
2025-01-06,SH011,18.4,0.55,5.05,24.0,76.67,95680.0,29120.0,2860.0,26260.0
2025-01-06,SH012,24.0,0.0,0.0,24.0,100.0,124800.01,0.0,0.0,0.0
2025-01-06,SH013,22.0,1.62,0.38,24.0,91.67,114400.02,10399.99,8406.66,1993.33
2025-01-06,SH014,21.53,2.3,0.17,24.0,89.72,111973.34,12826.65,11959.98,866.67
2025-01-06,SH015,21.73,1.12,1.15,24.0,90.56,113013.35,11786.67,5806.67,5980.0
2025-01-07,SH001,18.9,2.9,2.2,24.0,78.75,111585.6,30110.4,17121.6,12988.8
2025-01-07,SH002,22.53,1.47,0.0,24.0,93.89,133036.8,8659.2,8659.2,0.0
2025-01-07,SH003,22.33,1.67,0.0,24.0,93.06,131856.0,9840.0,9840.0,0.0
2025-01-07,SH004,11.18,4.3,8.52,24.0,46.6,66026.4,75669.6,25387.2,50282.4
2025-01-07,SH005,18.3,3.28,2.42,24.0,76.25,108043.2,33652.8,19384.8,14268.0
2025-01-07,SH006,18.4,0.5,5.1,24.0,76.67,108633.6,33062.4,2952.0,30110.4
2025-01-07,SH007,22.7,0.48,0.82,24.0,94.58,134020.8,7675.2,2853.6,4821.6
2025-01-07,SH008,16.07,4.53,3.4,24.0,66.94,94857.6,46838.4,26764.8,20073.6
2025-01-07,SH009,16.05,0.37,7.58,24.0,66.87,94759.2,46936.8,2164.8,44772.0
2025-01-07,SH010,22.55,1.45,0.0,24.0,93.96,133135.2,8560.8,8560.8,0.0
2025-01-07,SH011,19.47,3.2,1.33,24.0,81.11,101226.68,23573.32,16639.99,6933.33
2025-01-07,SH012,21.9,1.33,0.77,24.0,91.25,113879.98,10920.0,6933.33,3986.67
2025-01-07,SH013,21.4,1.87,0.73,24.0,89.17,111279.99,13520.0,9706.67,3813.33
2025-01-07,SH014,20.98,0.93,2.08,24.0,87.43,109113.33,15686.66,4853.33,10833.33
2025-01-07,SH015,21.93,1.9,0.17,24.0,91.39,114053.35,10746.67,9880.0,866.67
2025-01-08,SH001,16.77,1.42,5.82,24.0,69.86,98990.4,42705.6,8364.0,34341.6
2025-01-08,SH002,18.42,1.9,3.68,24.0,76.74,108732.0,32964.0,11217.6,21746.4
2025-01-08,SH003,21.68,2.1,0.22,24.0,90.35,128018.4,13677.6,12398.4,1279.2
2025-01-08,SH004,18.58,2.37,3.05,24.0,77.43,109716.0,31980.0,13972.8,18007.2
2025-01-08,SH005,20.8,2.27,0.93,24.0,86.67,122803.2,18892.8,13382.4,5510.4
2025-01-08,SH006,18.6,3.9,1.5,24.0,77.5,109814.4,31881.6,23025.6,8856.0
2025-01-08,SH007,18.8,5.2,0.0,24.0,78.33,110995.2,30700.8,30700.8,0.0
2025-01-08,SH008,22.43,1.57,0.0,24.0,93.47,132446.4,9249.6,9249.6,0.0
2025-01-08,SH009,15.02,1.85,7.13,24.0,62.57,88658.4,53037.6,10922.4,42115.2
2025-01-08,SH010,23.1,0.9,0.0,24.0,96.25,136382.4,5313.6,5313.6,0.0
2025-01-08,SH011,16.92,2.03,5.05,24.0,70.49,87966.69,36833.33,10573.33,26260.0
2025-01-08,SH012,20.43,3.23,0.33,24.0,85.14,106253.32,18546.67,16813.34,1733.33
2025-01-08,SH013,21.75,2.25,0.0,24.0,90.62,113099.98,11700.01,11700.01,0.0
2025-01-08,SH014,15.33,2.43,6.23,24.0,63.89,79733.32,45066.67,12653.34,32413.33
2025-01-08,SH015,21.6,2.2,0.2,24.0,90.0,112320.01,12480.0,11440.0,1040.0
2025-01-09,SH001,20.83,1.48,1.68,24.0,86.81,123000.0,18696.0,8757.6,9938.4
2025-01-09,SH002,21.55,1.93,0.52,24.0,89.79,127231.2,14464.8,11414.4,3050.4
2025-01-09,SH003,17.6,3.85,2.55,24.0,73.33,103910.4,37785.6,22730.4,15055.2
2025-01-09,SH004,20.7,2.02,1.28,24.0,86.25,122212.8,19483.2,11906.4,7576.8
2025-01-09,SH005,21.08,1.3,1.62,24.0,87.85,124476.0,17220.0,7675.2,9544.8
2025-01-09,SH006,22.18,0.65,1.17,24.0,92.43,130970.4,10725.6,3837.6,6888.0
2025-01-09,SH007,20.62,3.22,0.17,24.0,85.9,121720.8,19975.2,18991.2,984.0
2025-01-09,SH008,19.25,3.77,0.98,24.0,80.21,113652.0,28044.0,22238.4,5805.6
2025-01-09,SH009,21.9,1.62,0.48,24.0,91.25,129297.6,12398.4,9544.8,2853.6
2025-01-09,SH010,18.7,2.13,3.17,24.0,77.92,110404.8,31291.2,12595.2,18696.0
2025-01-09,SH011,17.62,2.97,3.42,24.0,73.4,91606.67,33193.35,15426.68,17766.67
2025-01-09,SH012,21.35,1.2,1.45,24.0,88.96,111019.99,13780.0,6240.0,7540.0
2025-01-09,SH013,22.17,0.0,1.83,24.0,92.36,115266.66,9533.33,0.0,9533.33
2025-01-09,SH014,19.57,3.02,1.42,24.0,81.53,101746.67,23053.34,15686.67,7366.67
2025-01-09,SH015,21.03,0.77,2.2,24.0,87.64,109373.35,15426.66,3986.66,11440.0
2025-01-10,SH001,18.53,2.52,2.95,24.0,77.22,109420.8,32275.2,14858.4,17416.8
2025-01-10,SH002,22.28,1.72,0.0,24.0,92.85,131560.8,10135.2,10135.2,0.0
2025-01-10,SH003,20.52,2.17,1.32,24.0,85.49,121130.4,20565.6,12792.0,7773.6
2025-01-10,SH004,22.87,0.28,0.85,24.0,95.28,135004.8,6691.2,1672.8,5018.4
2025-01-10,SH005,21.8,1.83,0.37,24.0,90.83,128707.2,12988.8,10824.0,2164.8
2025-01-10,SH006,22.98,0.17,0.85,24.0,95.76,135693.6,6002.4,984.0,5018.4
2025-01-10,SH007,22.57,1.27,0.17,24.0,94.03,133233.6,8462.4,7478.4,984.0
2025-01-10,SH008,22.08,1.12,0.8,24.0,92.01,130380.0,11316.0,6592.8,4723.2
2025-01-10,SH009,18.63,2.67,2.7,24.0,77.64,110011.2,31684.8,15744.0,15940.8
2025-01-10,SH010,18.23,5.43,0.33,24.0,75.97,107649.6,34046.4,32078.4,1968.0
2025-01-10,SH011,19.4,2.02,2.58,24.0,80.83,100880.0,23919.99,10486.66,13433.33
2025-01-10,SH012,21.77,2.07,0.17,24.0,90.69,113186.68,11613.34,10746.67,866.67
2025-01-10,SH013,17.68,2.33,3.98,24.0,73.68,91953.35,32846.65,12133.32,20713.33
2025-01-10,SH014,21.28,1.87,0.85,24.0,88.68,110673.33,14126.66,9706.66,4420.0
2025-01-10,SH015,22.22,1.0,0.78,24.0,92.57,115526.66,9273.33,5200.0,4073.33
2025-01-11,SH001,22.53,0.25,1.22,24.0,93.89,133036.8,8659.2,1476.0,7183.2
2025-01-11,SH002,21.53,2.13,0.33,24.0,89.72,127132.8,14563.2,12595.2,1968.0
2025-01-11,SH003,23.07,0.75,0.18,24.0,96.11,136185.6,5510.4,4428.0,1082.4
2025-01-11,SH004,22.02,1.05,0.93,24.0,91.74,129986.4,11709.6,6199.2,5510.4
2025-01-11,SH005,19.43,2.23,2.33,24.0,80.97,114734.4,26961.6,13185.6,13776.0
2025-01-11,SH006,17.87,5.47,0.67,24.0,74.44,105484.8,36211.2,32275.2,3936.0
2025-01-11,SH007,22.6,1.08,0.32,24.0,94.17,133430.4,8265.6,6396.0,1869.6
2025-01-11,SH008,21.8,1.48,0.72,24.0,90.83,128707.2,12988.8,8757.6,4231.2
2025-01-11,SH009,20.52,0.97,2.52,24.0,85.49,121130.4,20565.6,5707.2,14858.4
2025-01-11,SH010,18.87,4.48,0.65,24.0,78.61,111388.8,30307.2,26469.6,3837.6
2025-01-11,SH011,21.3,1.7,1.0,24.0,88.75,110760.0,14040.0,8840.0,5200.0
2025-01-11,SH012,21.55,2.25,0.2,24.0,89.79,112059.99,12740.01,11700.01,1040.0
2025-01-11,SH013,22.88,1.12,0.0,24.0,95.35,118993.32,5806.67,5806.67,0.0
2025-01-11,SH014,20.42,0.98,2.6,24.0,85.07,106166.66,18633.35,5113.34,13520.01
2025-01-11,SH015,21.67,2.33,0.0,24.0,90.28,112666.67,12133.33,12133.33,0.0
2025-01-12,SH001,21.15,2.85,0.0,24.0,88.13,124869.6,16826.4,16826.4,0.0
2025-01-12,SH002,18.75,3.03,2.22,24.0,78.12,110700.0,30996.0,17908.8,13087.2
2025-01-12,SH003,19.93,2.52,1.55,24.0,83.06,117686.4,24009.6,14858.4,9151.2
2025-01-12,SH004,20.48,2.9,0.62,24.0,85.35,120933.6,20762.4,17121.6,3640.8
2025-01-12,SH005,23.05,0.95,0.0,24.0,96.04,136087.2,5608.8,5608.8,0.0
2025-01-12,SH006,15.52,1.57,6.92,24.0,64.65,91610.4,50085.6,9249.6,40836.0
2025-01-12,SH007,21.43,2.57,0.0,24.0,89.31,126542.4,15153.6,15153.6,0.0
2025-01-12,SH008,20.93,3.07,0.0,24.0,87.22,123590.4,18105.6,18105.6,0.0
2025-01-12,SH009,18.28,1.97,3.75,24.0,76.18,107944.8,33751.2,11611.2,22140.0
2025-01-12,SH010,24.0,0.0,0.0,24.0,100.0,141696.0,0.0,0.0,0.0
2025-01-12,SH011,21.08,2.75,0.17,24.0,87.85,109633.31,15166.66,14299.99,866.67
2025-01-12,SH012,15.68,4.32,4.0,24.0,65.35,81553.35,43246.67,22446.67,20800.0
2025-01-12,SH013,22.05,1.07,0.88,24.0,91.88,114660.0,10140.0,5546.67,4593.33
2025-01-12,SH014,22.47,1.05,0.48,24.0,93.61,116826.67,7973.33,5460.0,2513.33
2025-01-12,SH015,22.32,1.52,0.17,24.0,92.99,116046.65,8753.34,7886.67,866.67
2025-01-13,SH001,22.45,1.22,0.33,24.0,93.54,132544.8,9151.2,7183.2,1968.0
2025-01-13,SH002,22.07,1.37,0.57,24.0,91.94,130281.6,11414.4,8068.8,3345.6
2025-01-13,SH003,22.43,0.92,0.65,24.0,93.47,132446.4,9249.6,5412.0,3837.6
2025-01-13,SH004,20.77,3.23,0.0,24.0,86.53,122606.4,19089.6,19089.6,0.0
2025-01-13,SH005,20.33,2.12,1.55,24.0,84.72,120048.0,21648.0,12496.8,9151.2
2025-01-13,SH006,13.63,4.4,5.97,24.0,56.81,80491.2,61204.8,25977.6,35227.2
2025-01-13,SH007,21.62,0.78,1.6,24.0,90.07,127624.8,14071.2,4624.8,9446.4
2025-01-13,SH008,17.67,3.0,3.33,24.0,73.61,104304.0,37392.0,17712.0,19680.0
2025-01-13,SH009,20.43,0.58,2.98,24.0,85.14,120638.4,21057.6,3444.0,17613.6
2025-01-13,SH010,20.3,2.73,0.97,24.0,84.58,119851.2,21844.8,16137.6,5707.2
2025-01-13,SH011,21.57,2.0,0.43,24.0,89.86,112146.68,12653.33,10400.0,2253.33
2025-01-13,SH012,18.78,3.0,2.22,24.0,78.26,97673.33,27126.66,15599.99,11526.67
2025-01-13,SH013,15.35,2.07,6.58,24.0,63.96,79819.98,44980.0,10746.67,34233.33
2025-01-13,SH014,20.28,2.65,1.07,24.0,84.51,105473.33,19326.67,13780.0,5546.67
2025-01-13,SH015,17.05,1.58,5.37,24.0,71.04,88659.98,36140.01,8233.34,27906.67
2025-01-14,SH001,21.85,2.15,0.0,24.0,91.04,129002.4,12693.6,12693.6,0.0
2025-01-14,SH002,18.87,2.0,3.13,24.0,78.61,111388.8,30307.2,11808.0,18499.2
2025-01-14,SH003,20.88,2.0,1.12,24.0,87.01,123295.2,18400.8,11808.0,6592.8
2025-01-14,SH004,18.28,2.88,2.83,24.0,76.18,107944.8,33751.2,17023.2,16728.0
2025-01-14,SH005,19.8,1.67,2.53,24.0,82.5,116899.2,24796.8,9840.0,14956.8
2025-01-14,SH006,15.92,5.95,2.13,24.0,66.32,93972.0,47724.0,35128.8,12595.2
2025-01-14,SH007,18.45,3.93,1.62,24.0,76.87,108928.8,32767.2,23222.4,9544.8
2025-01-14,SH008,20.4,3.6,0.0,24.0,85.0,120441.6,21254.4,21254.4,0.0
2025-01-14,SH009,20.48,1.2,2.32,24.0,85.35,120933.6,20762.4,7084.8,13677.6
2025-01-14,SH010,20.27,1.28,2.45,24.0,84.44,119654.4,22041.6,7576.8,14464.8
2025-01-14,SH011,18.6,1.83,3.57,24.0,77.5,96720.0,28080.01,9533.34,18546.67
2025-01-14,SH012,23.33,0.67,0.0,24.0,97.22,121333.31,3466.67,3466.67,0.0
2025-01-14,SH013,20.7,3.13,0.17,24.0,86.25,107639.99,17159.99,16293.32,866.67
2025-01-14,SH014,20.8,1.92,1.28,24.0,86.67,108160.0,16640.0,9966.67,6673.33
2025-01-14,SH015,20.4,1.55,2.05,24.0,85.0,106080.0,18720.01,8060.0,10660.01
2025-01-15,SH001,18.52,1.9,3.58,24.0,77.15,109322.4,32373.6,11217.6,21156.0
2025-01-15,SH002,18.4,3.58,2.02,24.0,76.67,108633.6,33062.4,21156.0,11906.4
2025-01-15,SH003,18.6,2.28,3.12,24.0,77.5,109814.4,31881.6,13480.8,18400.8
2025-01-15,SH004,22.75,0.77,0.48,24.0,94.79,134316.0,7380.0,4526.4,2853.6
2025-01-15,SH005,21.93,2.07,0.0,24.0,91.39,129494.4,12201.6,12201.6,0.0
2025-01-15,SH006,21.52,0.87,1.62,24.0,89.65,127034.4,14661.6,5116.8,9544.8
2025-01-15,SH007,22.17,0.0,1.83,24.0,92.36,130872.0,10824.0,0.0,10824.0
2025-01-15,SH008,22.27,0.0,1.73,24.0,92.78,131462.4,10233.6,0.0,10233.6
2025-01-15,SH009,20.5,3.5,0.0,24.0,85.42,121032.0,20664.0,20664.0,0.0
2025-01-15,SH010,20.7,3.3,0.0,24.0,86.25,122212.8,19483.2,19483.2,0.0
2025-01-15,SH011,22.5,0.82,0.68,24.0,93.75,117000.01,7800.0,4246.67,3553.33
2025-01-15,SH012,18.37,3.55,2.08,24.0,76.53,95506.67,29293.32,18459.99,10833.33
2025-01-15,SH013,23.0,1.0,0.0,24.0,95.83,119599.98,5200.0,5200.0,0.0
2025-01-15,SH014,21.83,0.87,1.3,24.0,90.97,113533.34,11266.67,4506.67,6760.0
2025-01-15,SH015,21.68,0.98,1.33,24.0,90.35,112753.33,12046.67,5113.34,6933.33
2025-01-16,SH001,20.12,0.28,3.6,24.0,83.82,118768.8,22927.2,1672.8,21254.4
2025-01-16,SH002,15.78,2.17,6.05,24.0,65.76,93184.8,48511.2,12792.0,35719.2
2025-01-16,SH003,17.88,3.65,2.47,24.0,74.51,105583.2,36112.8,21549.6,14563.2
2025-01-16,SH004,19.65,2.37,1.98,24.0,81.88,116013.6,25682.4,13972.8,11709.6
2025-01-16,SH005,22.83,0.92,0.25,24.0,95.14,134808.0,6888.0,5412.0,1476.0
2025-01-16,SH006,22.87,1.13,0.0,24.0,95.28,135004.8,6691.2,6691.2,0.0
2025-01-16,SH007,21.12,0.97,1.92,24.0,87.99,124672.8,17023.2,5707.2,11316.0
2025-01-16,SH008,19.02,2.07,2.92,24.0,79.24,112274.4,29421.6,12201.6,17220.0
2025-01-16,SH009,21.67,1.32,1.02,24.0,90.28,127920.0,13776.0,7773.6,6002.4
2025-01-16,SH010,20.48,1.73,1.78,24.0,85.35,120933.6,20762.4,10233.6,10528.8
2025-01-16,SH011,20.07,3.12,0.82,24.0,83.61,104346.67,20453.33,16206.67,4246.66
2025-01-16,SH012,19.12,4.88,0.0,24.0,79.65,99406.65,25393.34,25393.34,0.0
2025-01-16,SH013,18.52,4.1,1.38,24.0,77.15,96286.67,28513.32,21319.99,7193.33
2025-01-16,SH014,16.15,4.6,3.25,24.0,67.29,83980.0,40820.01,23920.0,16900.01
2025-01-16,SH015,20.28,2.05,1.67,24.0,84.51,105473.32,19326.67,10660.0,8666.67
2025-01-17,SH001,20.35,1.8,1.85,24.0,84.79,120146.4,21549.6,10627.2,10922.4
2025-01-17,SH002,19.63,2.03,2.33,24.0,81.81,115915.2,25780.8,12004.8,13776.0
2025-01-17,SH003,17.67,4.7,1.63,24.0,73.61,104304.0,37392.0,27748.8,9643.2
2025-01-17,SH004,23.15,0.85,0.0,24.0,96.46,136677.6,5018.4,5018.4,0.0
2025-01-17,SH005,20.07,3.32,0.62,24.0,83.61,118473.6,23222.4,19581.6,3640.8
2025-01-17,SH006,20.88,1.83,1.28,24.0,87.01,123295.2,18400.8,10824.0,7576.8
2025-01-17,SH007,19.28,3.2,1.52,24.0,80.35,113848.8,27847.2,18892.8,8954.4
2025-01-17,SH008,22.92,0.0,1.08,24.0,95.49,135300.0,6396.0,0.0,6396.0
2025-01-17,SH009,21.58,0.53,1.88,24.0,89.93,127428.0,14268.0,3148.8,11119.2
2025-01-17,SH010,22.42,0.9,0.68,24.0,93.4,132348.0,9348.0,5313.6,4034.4
2025-01-17,SH011,20.1,0.3,3.6,24.0,83.75,104519.99,20280.0,1560.0,18720.0
2025-01-17,SH012,18.47,2.85,2.68,24.0,76.94,96026.66,28773.33,14820.0,13953.33
2025-01-17,SH013,20.78,1.83,1.38,24.0,86.6,108073.32,16726.66,9533.33,7193.33
2025-01-17,SH014,22.77,1.23,0.0,24.0,94.86,118386.67,6413.33,6413.33,0.0
2025-01-17,SH015,21.13,2.87,0.0,24.0,88.06,109893.32,14906.66,14906.66,0.0
2025-01-18,SH001,23.78,0.0,0.22,24.0,99.1,140416.8,1279.2,0.0,1279.2
2025-01-18,SH002,22.17,1.83,0.0,24.0,92.36,130872.0,10824.0,10824.0,0.0
2025-01-18,SH003,22.1,0.0,1.9,24.0,92.08,130478.4,11217.6,0.0,11217.6
2025-01-18,SH004,21.13,2.65,0.22,24.0,88.06,124771.2,16924.8,15645.6,1279.2
2025-01-18,SH005,18.1,4.88,1.02,24.0,75.42,106862.4,34833.6,28831.2,6002.4
2025-01-18,SH006,21.68,2.15,0.17,24.0,90.35,128018.4,13677.6,12693.6,984.0
2025-01-18,SH007,21.53,0.68,1.78,24.0,89.72,127132.8,14563.2,4034.4,10528.8
2025-01-18,SH008,23.07,0.55,0.38,24.0,96.11,136185.6,5510.4,3247.2,2263.2
2025-01-18,SH009,16.18,2.72,5.1,24.0,67.43,95546.4,46149.6,16039.2,30110.4
2025-01-18,SH010,23.23,0.77,0.0,24.0,96.81,137169.6,4526.4,4526.4,0.0
2025-01-18,SH011,18.52,0.77,4.72,24.0,77.15,96286.67,28513.32,3986.66,24526.66
2025-01-18,SH012,20.73,2.25,1.02,24.0,86.39,107813.33,16986.66,11699.99,5286.67
2025-01-18,SH013,21.37,0.72,1.92,24.0,89.03,111106.64,13693.34,3726.67,9966.67
2025-01-18,SH014,23.82,0.0,0.18,24.0,99.24,123846.7,953.33,0.0,953.33
2025-01-18,SH015,19.08,1.63,3.28,24.0,79.51,99233.35,25566.66,8493.33,17073.33
2025-01-19,SH001,22.12,0.2,1.68,24.0,92.15,130576.8,11119.2,1180.8,9938.4
2025-01-19,SH002,20.8,1.1,2.1,24.0,86.67,122803.2,18892.8,6494.4,12398.4
2025-01-19,SH003,22.07,1.93,0.0,24.0,91.94,130281.6,11414.4,11414.4,0.0
